CookerStat, GenerateAssetRegistry=0.039000, Initialize=0.177577, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F7D1143047ACEBBD041F9FAE1C7E7D11__1_0_13123_0, StartTime=2016.05.19-17.31.52, HierarchicalDDC=, DataSize=461, Duration=1.602318, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_18071B5A44A8765DBC5EA3AE477700CD__1_0_13123_0, StartTime=2016.05.19-17.31.52, HierarchicalDDC=, DataSize=499, Duration=1.555018, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C86EFDE744DB6398DBE96FA630350F88__1_0_13123_0, StartTime=2016.05.19-17.31.52, HierarchicalDDC=, DataSize=347, Duration=1.560550, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F72D9F70429483F7464D65BEE3B266A1__1_0_13123_0, StartTime=2016.05.19-17.31.52, HierarchicalDDC=, DataSize=347, Duration=1.224764, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_63B6010347CA72515F45F39F2004F1C4__1_0_13123_0, StartTime=2016.05.19-17.31.53, HierarchicalDDC=, DataSize=458, Duration=2.850868, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1E7E94FC41E03D4303B564A3B600A210__1_0_13123_0, StartTime=2016.05.19-17.31.53, HierarchicalDDC=, DataSize=458, Duration=1.463465, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E0CBFD0C4F06058231102DA2817E0B55__1_0_13123_0, StartTime=2016.05.19-17.31.53, HierarchicalDDC=, DataSize=458, Duration=1.328763, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId84ED0E4D4D41F83C081C7CBF1A7D9D66_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_238DCBE5447C4D16ED9847921922A865__1_0_13123_0, StartTime=2016.05.19-17.31.53, HierarchicalDDC=, DataSize=458, Duration=10.024090, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_21220EFD4309F1F9729E3F924909878B__1_0_13123_0, StartTime=2016.05.19-17.31.53, HierarchicalDDC=, DataSize=1367, Duration=1.458764, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3A431C5D4B6887D62DA2159DF8183420__1_0_13123_0, StartTime=2016.05.19-17.31.53, HierarchicalDDC=, DataSize=2449, Duration=1.532339, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionId570E699C46CCE9C75E6326ABD24A7C75_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5935B27841349BE2457141814DA99DC2__1_0_13123_0, StartTime=2016.05.19-17.31.53, HierarchicalDDC=, DataSize=385, Duration=11.319112, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
DDCTransactionIdB1E04AF744117691282A7887780A0031_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7089828546F8E8EAE41BE693D7BB57A5__1_0_13123_0, StartTime=2016.05.19-17.31.53, HierarchicalDDC=, DataSize=4549, Duration=1.198761, RunGuid=RunID13FDC02D43593C3E6A0AD0BAE5F549A8
