CookerStat, GenerateAssetRegistry=0.029597, Initialize=0.131104, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9C8732B54D27DD6E79422B83ABDBB809__1_0_13123_0, StartTime=2016.05.20-23.15.22, HierarchicalDDC=, DataSize=599, Duration=1.591526, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId83278CAE473868FFC7DC3CAC2613A7BA_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F01E56DF40AEB5ABD3EFF3B80AE09642__1_0_13123_0, StartTime=2016.05.20-23.15.22, HierarchicalDDC=, DataSize=461, Duration=1.533717, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8709EA5B4587BD7BAE43B2A0BAEFA3D8__1_0_13123_0, StartTime=2016.05.20-23.15.22, HierarchicalDDC=, DataSize=527, Duration=1.670908, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A15CF1DF4ED3FD8F9AAC77943EF210A0__1_0_13123_0, StartTime=2016.05.20-23.15.22, HierarchicalDDC=, DataSize=437, Duration=1.485869, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_75BCBB5E41F544E749E36EA3DDB7CB15__1_0_13123_0, StartTime=2016.05.20-23.15.25, HierarchicalDDC=, DataSize=458, Duration=1.739506, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId83278CAE473868FFC7DC3CAC2613A7BA_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FF04D1BD4ED39B5D1C8916BA4345959B__1_0_13123_0, StartTime=2016.05.20-23.15.25, HierarchicalDDC=, DataSize=458, Duration=1.340654, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4FFC6B7645A150BFB11D62A9B7779AC3__1_0_13123_0, StartTime=2016.05.20-23.15.25, HierarchicalDDC=, DataSize=409, Duration=1.834653, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId14CA8AA74AAD8C910F5AD1BF4C7A979E_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_61F1E3D3459AE9F50F2918B1797E3841__1_0_13123_0, StartTime=2016.05.20-23.15.25, HierarchicalDDC=, DataSize=499, Duration=1.678932, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionId83278CAE473868FFC7DC3CAC2613A7BA_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FAEE559C40B7F515BF212C9B99AEC1F1__1_0_13123_0, StartTime=2016.05.20-23.15.25, HierarchicalDDC=, DataSize=613, Duration=1.535654, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
DDCTransactionIdEB3EB9114252C7401425A98B2C1DA35D_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9F12A3C34EBBFF3EA6F90CB4EBB4C539__1_0_13123_0, StartTime=2016.05.20-23.15.25, HierarchicalDDC=, DataSize=437, Duration=1.296952, RunGuid=RunIDF22F8FE1443A6AAC2CA180A6EF774335
