CookerStat, GenerateAssetRegistry=0.023514, Initialize=0.129171, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8221CF54479A7A5E2E8DC197373295B3__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=1801, Duration=1.339275, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F29ADB2F49947DCF0BF4D593F9979FED__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=833, Duration=1.619462, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_93E127144BBA254286281182AC8D2B04__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=803, Duration=1.200974, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EC036C364144E15B0BD550ADE3F9A883__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=627, Duration=1.206506, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D3AA22AB4A82966D7D19D48FAE313E2C__1_0_13123_0, StartTime=2016.05.26-20.48.44, HierarchicalDDC=, DataSize=715, Duration=1.381591, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2E414D46466A47B2ECD207A89EEAA48E__1_0_13123_0, StartTime=2016.05.26-20.48.51, HierarchicalDDC=, DataSize=458, Duration=1.728721, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4FA229954EA2CC25117B8CB85A6C5045__1_0_13123_0, StartTime=2016.05.26-20.48.51, HierarchicalDDC=, DataSize=458, Duration=1.796760, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1CEF54CC4A9F9387116400AD5C32995C__1_0_13123_0, StartTime=2016.05.26-20.48.51, HierarchicalDDC=, DataSize=1955, Duration=1.478955, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A2C2F32B4FD069A05C387CA9A9A0D268__1_0_13123_0, StartTime=2016.05.26-20.48.51, HierarchicalDDC=, DataSize=787, Duration=1.672018, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F056DD2E45B341799DEC8AA7FCE7731A__1_0_13123_0, StartTime=2016.05.26-20.48.51, HierarchicalDDC=, DataSize=737, Duration=1.531783, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_887AD1A245727D477E9D328BB6257D33__1_0_13123_0, StartTime=2016.05.26-20.48.51, HierarchicalDDC=, DataSize=1417, Duration=1.268465, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_34A442934EDF31A6D823F8B626F0D1A6__1_0_13123_0, StartTime=2016.05.26-20.48.51, HierarchicalDDC=, DataSize=4899, Duration=1.145381, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1CD8DE304228A94363089E915CC8FE80__1_0_13123_0, StartTime=2016.05.26-20.48.51, HierarchicalDDC=, DataSize=449, Duration=1.408424, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DB04BF7B42118C503994438B972A2428__1_0_13123_0, StartTime=2016.05.26-20.48.51, HierarchicalDDC=, DataSize=1805, Duration=1.597062, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId0B7589914CAA1D3D4D54CC894241F5F6_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_68B99C49430233CD76997898D935B4A7__1_0_13123_0, StartTime=2016.05.26-20.48.51, HierarchicalDDC=, DataSize=3391, Duration=1.439124, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionIdD0F3CD394EEE0A1B1A0FB99ABBD68B7D_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_45E3043845B253C6FDBE44848B78CF85__1_0_13123_0, StartTime=2016.05.26-20.48.51, HierarchicalDDC=, DataSize=461, Duration=1.228083, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
DDCTransactionId941EBF4C4BB15930C26F3BA227790F68_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_13595C8241F1FA1539ABD8A1D4789488__1_0_13123_0, StartTime=2016.05.26-20.48.51, HierarchicalDDC=, DataSize=461, Duration=1.360018, RunGuid=RunID29B7CD554A238BD39EC16B886029FB4D
